Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
4A084,4A084,2-Jan-20,USD,247,0,0,0,0,247,0,247,0,0,0,0,247,247,1,247,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,247,247
4A088,4A088,2-Jan-20,{Conv Tot},-3578908.35,-65.53,0,0,0,-3578973.88,-1134702.59,-4713676.47,0,5925450,5925450,0,-10639126.47,-4713676.47,1,-4713676.47,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-4713676.47,-10639126.47
4A088,4A088,2-Jan-20,USD,-3578908.35,-65.53,0,0,0,-3578973.88,-1134702.59,-4713676.47,0,5925450,5925450,0,-10639126.47,-4713676.47,1,-4713676.47,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-4713676.47,-10639126.47
4A770,4A770,2-Jan-20,{Conv Tot},-823348.38,-4304.62,0,0,4610,-823043,4415424.5,3592381.5,659500,5009506,5009506,0,-1417124.5,4251881.5,1,4251881.5,Converted Total,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,** COMPUTED TOTAL **,FINAL,0,3592381.5,-1417124.5
4A770,4A770,2-Jan-20,USD,2,0,0,0,0,2,0,2,0,0,0,0,2,2,1,2,NON-SEGREGATED USD,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,* 30.7 SECURED USD *,FINAL,0,2,2
4A770,4A770,2-Jan-20,USD,-823350.38,-4304.62,0,0,4610,-823045,4415424.5,3592379.5,659500,5009506,5009506,0,-1417126.5,4251879.5,1,4251879.5,SEGREGATED - USD,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,** US SEG USD **,FINAL,0,3592379.5,-1417126.5
4A771,4A771,2-Jan-20,{Conv Tot},60568.12,0,0,0,0,60568.12,0,60568.12,0,0,0,0,60568.12,60568.12,1,60568.12,Converted Total,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,** COMPUTED TOTAL **,FINAL,0,60568.12,60568.12
4A771,4A771,2-Jan-20,USD,60568.12,0,0,0,0,60568.12,0,60568.12,0,0,0,0,60568.12,60568.12,1,60568.12,SEGREGATED - USD,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,** US SEG USD **,FINAL,0,60568.12,60568.12
4A772,4A772,2-Jan-20,{Conv Tot},294.63,0,0,0,0,294.63,0,294.63,0,0,0,0,294.63,294.63,1,294.63,Converted Total,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,** COMPUTED TOTAL **,FINAL,0,294.63,294.63
4A772,4A772,2-Jan-20,USD,294.63,0,0,0,0,294.63,0,294.63,0,0,0,0,294.63,294.63,1,294.63,SEGREGATED - USD,PETROCHINA INTL (AMERICA) INC.,0,PETROCHINA INTL (AMERICA) INC.,** US SEG USD **,FINAL,0,294.63,294.63
4B318,4B318,2-Jan-20,{Conv Tot},-165345419.8,-1859.04,0,0,182912.5,-165164366.3,-1657918.5,-166822284.8,0,4399309,4399309,0,-171221593.8,-166822284.8,1,-166822284.8,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-166822284.8,-171221593.8
4B318,4B318,2-Jan-20,USD,-1501474.18,0,0,0,0,-1501474.18,0,-1501474.18,0,0,0,0,-1501474.18,-1501474.18,1,-1501474.18,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,-1501474.18,-1501474.18
4B318,4B318,2-Jan-20,USD,-163843945.6,-1859.04,0,0,182912.5,-163662892.2,-1657918.5,-165320810.7,0,4399309,4399309,0,-169720119.7,-165320810.7,1,-165320810.7,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-165320810.7,-169720119.7
4B443,4B443,2-Jan-20,{Conv Tot},2110616.07,-224.2,0,0,-3110,2107281.87,-4778609,-2671327.13,223000,6863491,6863491,0,-9534818.13,-2448327.13,1,-2448327.13,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,-2671327.13,-9534818.13
4B443,4B443,2-Jan-20,USD,2110616.07,-224.2,0,0,-3110,2107281.87,-4778609,-2671327.13,223000,6863491,6863491,0,-9534818.13,-2448327.13,1,-2448327.13,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,-2671327.13,-9534818.13
