Custom_Account,JPM_Account,Statement_Date,Currency,Opening_Balance,Commission,Option_Premium,Journal_Items,Gross_Realised_Profit_Loss,Closing_Balance,Open_Trade_Equity,Total_Equity,Net_Market_Value_of_Options,Initial_Margin_Requirement,Maintenance_Margin_Requirement,Margin_Value_Securities,AFR_Excess_Cash_Equity,Net_Liquidating_Value,Conversion_Rate,Conv_Net_Liquidating_Value,account_type,custom_account_name,japanese_initial_requirement,jpm_account_name,Stmnt_Recap_Cat_Description,transaction_source_type,Pending Cash Total,Pending Trade Date Balance,Pending Incremental EXC/DEF
C1922,C1922,1-Jan-20,{Conv Tot},0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Converted Total,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,** COMPUTED TOTAL **,FINAL,0,0,0
C1922,C1922,1-Jan-20,GBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32475,0,BRITISH POUNDS-LIFFE,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,** BRITISH POUNDS **,FINAL,0,0,0
C1922,C1922,1-Jan-20,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USD               SG,CHINAOIL (HK) CORPORATION LTD,0,CHINAOIL (HK) CORPORATION LTD,**US$ US EXCHANGES**,FINAL,0,0,0
C1930,C1930,1-Jan-20,{Conv Tot},32856283.43,0,0,0,0,32856283.43,-6915368.67,25940914.76,0,13232408,13232408,0,12708506.76,25940914.76,1,25940914.76,Converted Total,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** COMPUTED TOTAL **,FINAL,0,25940914.76,12708506.76
C1930,C1930,1-Jan-20,GBP,-23.63,0,0,0,0,-23.63,0,-23.63,0,0,0,0,-23.63,-23.63,1.32475,-31.3,BRITISH POUNDS-LIFFE,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,** BRITISH POUNDS **,FINAL,0,-23.63,-23.63
C1930,C1930,1-Jan-20,USD,511151,0,0,0,0,511151,0,511151,0,0,0,0,511151,511151,1,511151,USD               NS,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,*US$ NON-US EXCHANGES*,FINAL,0,511151,511151
C1930,C1930,1-Jan-20,USD,32345163.73,0,0,0,0,32345163.73,-6915368.67,25429795.06,0,13232408,13232408,0,12197387.06,25429795.06,1,25429795.06,USD               SG,PETROCHINA INTL (SG) PTE LTD,0,PETROCHINA INTL (SG) PTE LTD,**US$ US EXCHANGES**,FINAL,0,25429795.06,12197387.06
D2982,D2982,1-Jan-20,{Conv Tot},8777851.9,0,0,0,0,8777851.9,3543556.81,12321408.71,678750,11065836,11065836,0,1255572.71,13000158.71,1,13000158.71,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,12321408.71,1255572.71
D2982,D2982,1-Jan-20,EUR,-0.19,0,0,0,0,-0.19,0,-0.19,0,0,0,0,-0.19,-0.19,1.1225,-0.21,NON-SEG EURO,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED EUR *,FINAL,0,-0.19,-0.19
D2982,D2982,1-Jan-20,USD,0.18,0,0,0,0,0.18,0,0.18,0,0,0,0,0.18,0.18,1,0.18,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,0.18,0.18
D2982,D2982,1-Jan-20,USD,8777851.9,0,0,0,0,8777851.9,3543556.81,12321408.71,678750,11065836,11065836,0,1255572.71,13000158.71,1,13000158.71,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,12321408.71,1255572.71
D2982,D2982,1-Jan-20,ZAR,0.47,0,0,0,0,0.47,0,0.47,0,0,0,0,0.47,0.47,0.07151285,0.03,SOUTH AFRICAN RAND,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED ZAR *,FINAL,0,0.47,0.47
DB318,DB318,1-Jan-20,{Conv Tot},17074949.75,0,0,0,0,17074949.75,-5713952.25,11360997.5,227000,10669722,10669722,0,691275.5,11587997.5,1,11587997.5,Converted Total,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** COMPUTED TOTAL **,FINAL,0,11360997.5,691275.5
DB318,DB318,1-Jan-20,GBP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32475,0,BRITISH POUNDS-LIFFE,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED GBP *,FINAL,0,0,0
DB318,DB318,1-Jan-20,USD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NON-SEGREGATED USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,* 30.7 SECURED USD *,FINAL,0,0,0
DB318,DB318,1-Jan-20,USD,17074949.75,0,0,0,0,17074949.75,-5713952.25,11360997.5,227000,10669722,10669722,0,691275.5,11587997.5,1,11587997.5,SEGREGATED - USD,PETROCHINA INTERNATIONAL,0,PETROCHINA INTERNATIONAL,** US SEG USD **,FINAL,0,11360997.5,691275.5
Z1913,Z1913,1-Jan-20,{Conv Tot},94793900.77,0,0,0,0,94793900.77,-50405034.56,44388866.21,0,36398408,36398408,0,7990458.21,44388866.21,1,44388866.21,Converted Total,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,** COMPUTED TOTAL **,FINAL,0,44388866.21,7990458.21
Z1913,Z1913,1-Jan-20,USD,2942.9,0,0,0,0,2942.9,0,2942.9,0,0,0,0,2942.9,2942.9,1,2942.9,USD               NS,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,*US$ NON-US EXCHANGES*,FINAL,0,2942.9,2942.9
Z1913,Z1913,1-Jan-20,USD,94790957.87,0,0,0,0,94790957.87,-50405034.56,44385923.31,0,36398408,36398408,0,7987515.31,44385923.31,1,44385923.31,USD               SG,PETROCHINA INTL (HK) CORP LTD,0,PETROCHINA INTL (HK) CORP LTD,**US$ US EXCHANGES**,FINAL,0,44385923.31,7987515.31
